File Name,Detected Language,Confidence,Snippet,Mixed Languages
tel-03435883.txt,fr,0.8571402722951372,Les systèmes Toxine Antitoxine VapBC des régulateurs de la symbiose fixatrice d azote Rhizobium Légumineuse Camille Syska To cite this version Camille Syska Les systèmes Toxine Antitoxine VapBC des ré,"fr (0.86), en (0.14)"
tel-03435884.txt,fr,0.9999954106003787,Étude phylogénique de souches d alphaherpèsvirus isolées chez les équidés français et développement d un outil innovant pour la mesure des anticorps neutralisants après infection ou vaccination Gabrie,fr (1.00)
tel-03435885.txt,fr,0.9999986591186585,Multi scale studies of Measeles virus nucleocapsid assembly Serafima Guseva To cite this version Serafima Guseva Multi scale studies of Measeles virus nucleocapsid assembly Structural Biology q bio BM,fr (1.00)
tel-03435936.txt,fr,0.9999960121395144,Caractérisation génomique des anomalies de la pigmentation cutanée en mosaïque Arthur Sorlin To cite this version Arthur Sorlin Caractérisation génomique des anomalies de la pigmentation cutanée en mo,fr (1.00)
tel-03436011.txt,fr,0.9999962939982516,Le Conseil économique social et environnemental régional assemblée du dialogue des intérêts organisés dans la région Amandine Brizio To cite this version Amandine Brizio Le Conseil économique social e,fr (1.00)
tel-03436023.txt,Ambiguous (en),0.714283114033141,Optical Developments for Microscale Measurement and Control of Temperature in Optogenetics Chang Liu To cite this version Chang Liu Optical Developments for Microscale Measurement and Control of Tempe,"en (0.71), fr (0.29)"
tel-03436024.txt,fr,0.8571401316692514,Z boson and double charm production with ALICE at the LHC Sizar Aziz To cite this version Sizar Aziz Z boson and double charm production with ALICE at the LHC High Energy Physics Experiment hep ex Uni,"fr (0.86), en (0.14)"
tel-03436025.txt,fr,0.999997510433582,Caractérisation opto mécanique du verre traité par des méthodes thermo chimiques Oumessad Gridi To cite this version Oumessad Gridi Caractérisation opto mécanique du verre traité par des méthodes ther,fr (1.00)
tel-03436087.txt,fr,0.9999959257874971,La Dynamique sociale des pratiques stratification sociale changement social et consommation alimentaire Marie Plessz To cite this version Marie Plessz La Dynamique sociale des pratiques stratification,fr (1.00)
tel-03436137.txt,fr,0.9999975013170305,Random surface growth models hydrodynamic limits and fluctuations Vincent Lerouvillois To cite this version Vincent Lerouvillois Random surface growth models hydrodynamic limits and fluctuations Gener,fr (1.00)
tel-03436157.txt,en,0.8571406361581645,Remotely sensed rip current dynamics and morphological control in high energy beach environments Isaac Rodriguez Padilla To cite this version Isaac Rodriguez Padilla Remotely sensed rip current dynami,"en (0.86), fr (0.14)"
tel-03436173.txt,fr,0.9999956666567807,Three essays on spatial frictions Pierre Cotterlaz To cite this version Pierre Cotterlaz Three essays on spatial frictions Economics and Finance Institut d études poli tiques de paris Sciences Po 2021,fr (1.00)
tel-03436335.txt,fr,0.9999974375652309,Exploration des patrons de sénescence chez un organisme à croissance indeterminée le cloporte commun Charlotte Depeux To cite this version Charlotte Depeux Exploration des patrons de sénescence chez u,fr (1.00)
tel-03436364.txt,fr,0.9999952277929369,Family marriage markets and inequality a matching approach Simon Weber To cite this version Simon Weber Family marriage markets and inequality a matching approach Economics and Finance Institut d étud,fr (1.00)
tel-03436368.txt,fr,0.9999963545621948,Manager la culture de sûreté construction représentations et usages de la culture de sûreté dans l industrie nucléaire David Santana To cite this version David Santana Manager la culture de sûreté con,fr (1.00)
tel-03436372.txt,fr,0.9999979388417659,Réguler et conduire de la critique de la prison à la pénalité néolibérale Victor Fontaine To cite this version Victor Fontaine Réguler et conduire de la critique de la prison à la pénalité néolibérale,fr (1.00)
tel-03436394.txt,fr,0.9999944929721616,Un destin commun études sur le futur dans les organisations internationales et formation d une conscience globale pendant la guerre froide 1945 1989 Sibylle Duhautois To cite this version Sibylle Duha,fr (1.00)
tel-03436405.txt,fr,0.9999969054593428,Travayè an larila Les travailleurs sont dans la rue syndicalisme et protestation en Guadeloupe et en Martinique Pierre Odin To cite this version Pierre Odin Travayè an larila Les travailleurs sont dan,fr (1.00)
tel-03436409.txt,Ambiguous (fr),0.5714276748449817,Automated objective speech markers for differential diagnosis between parkinson s disease and atypical parkinsonian disorders Biswajit Das To cite this version Biswajit Das Automated objective speech,"fr (0.57), en (0.43)"
tel-03436501.txt,en,0.9999949419716498,Superelectrophilic Activation in Ga III and Ca II Catalyzed Reactions Shengwen Yang To cite this version Shengwen Yang Superelectrophilic Activation in Ga III and Ca II Catalyzed Reactions Organic che,en (1.00)
tel-03436527.txt,fr,0.9999976320347224,Contractual renegotiations and International investment arbitration a relational contract theory interpretation of investment treaties Aikaterini Florou To cite this version Aikaterini Florou Contract,fr (1.00)
tel-03436530.txt,en,0.9999960715559186,Essays in labor economics discrimination productivity and matching Dylan Glover To cite this version Dylan Glover Essays in labor economics discrimination productivity and matching Economics and Finan,en (1.00)
tel-03436542.txt,fr,0.9999954858018697,Gouverner par le temps la gestion des déchets radioactifs en France entre changements organisationnels et construction de solutions techniques irréversibles 1950 2014 Julie Blanck To cite this version,fr (1.00)
tel-03436545.txt,fr,0.9999971245223226,Consumption social interactions and preferences Eve Sihra Colson To cite this version Eve Sihra Colson Consumption social interactions and preferences Economics and Finance Institut d études politique,fr (1.00)
tel-03436548.txt,fr,0.9999954962103191,La Mongolie entre dépendance et politiques développementalistes 1990 2016 Antoine Maire To cite this version Antoine Maire La Mongolie entre dépendance et politiques développementalistes 1990 2016 Sci,fr (1.00)
tel-03436551.txt,fr,0.999994689324736,Optimal policies in international macroeconomics Zineddine Alla To cite this version Zineddine Alla Optimal policies in international macroeconomics Economics and Finance Institut d études politiques,fr (1.00)
tel-03437063.txt,Ambiguous (en),0.7142846289772589,The role of p53 during chikungunya virus infection in mammal and insect Lucie Cappuccio To cite this version Lucie Cappuccio The role of p53 during chikungunya virus infection in mammal and insect Vir,"en (0.71), fr (0.29)"
tel-03437096.txt,Ambiguous (en),0.7142837462402879,HospiT Win designing a discrete event simulation based digital twin for real time monitoring and near future prediction of patient pathways in the hospital Abdallah Karakra To cite this version Abdall,"en (0.71), fr (0.29)"
tel-03437282.txt,Ambiguous (fr),0.5714276059474916,Social information and collective action Agnalys Michaud To cite this version Agnalys Michaud Social information and collective action Economics and Finance Université Montpellier 2020 English NNT 202,"fr (0.57), en (0.43)"
tel-03437572.txt,en,0.9999974051868837,Innovative liposomes with double encapsulation properties for the treatment of acute myeloid leukemia Zhiqiang Wang To cite this version Zhiqiang Wang Innovative liposomes with double encapsulation pr,en (1.00)
tel-03437573.txt,en,0.9999964908812411,Catalytic cleavage of vegetable oil derivatives to aldehydes and other bio based building blocks Duc Nam Vu To cite this version Duc Nam Vu Catalytic cleavage of vegetable oil derivatives to aldehydes,en (1.00)
tel-03437616.txt,fr,0.9999961114632748,Hyperperméabilité capillaire au cours des états septiques nouvelles cibles thérapeutiques et place du lactate de sodium molaire Emmanuel Besnier To cite this version Emmanuel Besnier Hyperperméabilité,fr (1.00)
tel-03438100.txt,fr,0.9999961213129747,L Amazonie comme identité géographie imaginaire et cartographie littéraire au Brésil du XIXe siècle Le vécu au service de l imaginaire Nataly Jollant To cite this version Nataly Jollant L Amazonie com,fr (1.00)
tel-03438101.txt,fr,0.9999972716605653,Atteintes cognitives et cérébrales dans le trouble de l usage d alcool et le syndrome de Korsakoff valeur pronostique évolution et prise en charge Angeline Maillard To cite this version Angeline Maill,fr (1.00)
tel-03438102.txt,fr,0.9999945362700209,Étude de revêtements thermochromes à base de VO2 élaborés par voie PVD HiPIMS Jean Louis Victor To cite this version Jean Louis Victor Étude de revêtements thermochromes à base de VO2 élaborés par voi,fr (1.00)
tel-03438103.txt,fr,0.9999972416060139,Using dna methylation to inform the exposome health relations Solène Cadiou To cite this version Solène Cadiou Using dna methylation to inform the exposome health relations Human health and pathology,fr (1.00)
tel-03438104.txt,en,0.9999972591952591,Long bone morphological adaptation to graviportality in Rhinocerotoidea Christophe Mallet To cite this version Christophe Mallet Long bone morphological adaptation to graviportality in Rhinocerotoidea,en (1.00)
tel-03438105.txt,fr,0.999995270090664,Protection de l acier au carbone contre l entartrage par un traitement à base de polymère non toxique et dopage aux cations cuivre et zinc Manel Gritli To cite this version Manel Gritli Protection de,fr (1.00)
tel-03438755.txt,en,0.9999974819850378,Autonomous robust control techniques for dynamic target tracking Guillermo Julio Cesar Betancourt Vera To cite this version Guillermo Julio Cesar Betancourt Vera Autonomous robust control techniques f,en (1.00)
tel-03438811.txt,pt,0.9999942130057878,A AGRICULTURA ECOLOGICA SOB O ANGULO DA QUALIDADE DE VIDA DOS AGRICULTORES Abordagem comparativa entre duas regiões metropolitanas na França e no Brasil Renata Souza Seidl To cite this version Renata,pt (1.00)
tel-03438828.txt,Ambiguous (fr),0.5714268833166363,Intrinsically Motivated Goal Exploration in Child Development and Artificial Intelligence Learning and Development of Speech and Tool Use Sebastien Forestier To cite this version Sebastien Forestier I,"fr (0.57), en (0.43)"
tel-03438829.txt,fr,0.8571387664673144,Telenovelas brasileiras entre tradição e pós modernidade um estudo do papel das beatas Jorge Borges To cite this version Jorge Borges Telenovelas brasileiras entre tradição e pós modernidade um estudo,"fr (0.86), pt (0.14)"
tel-03438863.txt,Ambiguous (en),0.7142831649611958,Causal Discovery between time series Karim Assaad To cite this version Karim Assaad Causal Discovery between time series Artificial Intelligence cs AI Université Greno ble Alpes 2020 2021 English NNT,"en (0.71), fr (0.29)"
tel-03438921.txt,Ambiguous (en),0.7142821401029291,Numerical modeling and optimization of a regenerative Stirling refrigerating machine for moderate cooling applications Muluken Zegeye Getie To cite this version Muluken Zegeye Getie Numerical modeling,"en (0.71), fr (0.29)"
tel-03438923.txt,fr,0.999996575201265,Observations cosmologiques par LISA limitations dues au bruit et aux signaux astrophysiques Guillaume Boileau To cite this version Guillaume Boileau Observations cosmologiques par LISA limitations due,fr (1.00)
tel-03438925.txt,fr,0.8571410587739796,Study of a visco elastic model of the human lung and application to the High Frequency Chest Wall Oscillation Michaël Brunengo To cite this version Michaël Brunengo Study of a visco elastic model of t,"fr (0.86), en (0.14)"
tel-03438938.txt,fr,0.9999956759454711,Rôle des contacts adhésifs et frottants dans la rhéologie des suspensions non browniennes Duncan Gilbert To cite this version Duncan Gilbert Rôle des contacts adhésifs et frottants dans la rhéologie d,fr (1.00)
tel-03439261.txt,en,0.9999972834393622,Récupérateur d énergie pour les systèmes TPMS modélisation et validation expérimentale Emine Zaouali To cite this version Emine Zaouali Récupérateur d énergie pour les systèmes TPMS modélisation et va,en (1.00)
tel-03439346.txt,fr,0.9999951124644009,Le droit face à l art corporel du corps comme oeuvre d art Ophélie Wang To cite this version Ophélie Wang Le droit face à l art corporel du corps comme oeuvre d art Droit Institut d études politiques,fr (1.00)
tel-03439354.txt,en,0.9999972896140399,In search of frictions Clément Mazet Sonilhac To cite this version Clément Mazet Sonilhac In search of frictions Economics and Finance Institut d études politiques de paris Sciences Po 2021 English NN,en (1.00)
